Date,Open ,High ,Low ,Close ,Volume
7-Sep-17,162,162.24,160.36,161.28,197068
8-Sep-17,161.14,161.46,158.53,158.59,258538
11-Sep-17,160.41,162.05,159.89,161.66,283750
12-Sep-17,162.45,163.96,158.77,160.98,655081
13-Sep-17,160.41,160.6,157.91,159.44,403894
14-Sep-17,159.49,159.69,157.66,157.75,205620
15-Sep-17,158.2,160.97,158,160.08,417554
18-Sep-17,160.22,160.65,157.99,158.7,227243
19-Sep-17,158.85,159.77,158.31,158.42,164009
20-Sep-17,158.42,159.15,153.83,156.25,422898
21-Sep-17,156.05,156.2,152.75,153.02,337300
22-Sep-17,153.25,153.3,150.56,151.97,420872
25-Sep-17,150.99,152.2,149.16,150.57,401033
26-Sep-17,150.59,153.92,150.59,153.37,315642
27-Sep-17,153.71,154.72,153.1,154.06,229707
28-Sep-17,154.23,154.45,152.7,153.27,199175
29-Sep-17,153.27,154.2,152,154.12,235519
2-Oct-17,154.12,154.5,152.72,153.75,167592
3-Oct-17,153.77,155.09,153.75,154.5,146091
4-Oct-17,154.5,154.82,152.46,153.54,181632
5-Oct-17,153.64,155.44,153.4,155.24,190320
6-Oct-17,155.3,155.72,154.56,155.37,147441
9-Oct-17,155.07,156.73,155.03,155.65,131842
10-Oct-17,155.72,158,155.1,155.73,130723
11-Oct-17,155.78,156.98,155.6,156.43,137356
12-Oct-17,156.4,157.37,155.72,155.8,136848
13-Oct-17,156.2,157.28,156,156.95,135714
16-Oct-17,158.14,160,157.35,159.96,206844
17-Oct-17,159.96,160.87,159.23,160.48,164576
18-Oct-17,160.63,160.9,158.01,158.3,140861
19-Oct-17,158.5,158.5,155.02,155.6,353669
20-Oct-17,156.2,157.75,155.96,156.24,193939
23-Oct-17,156.25,157.69,155.5,156.08,169654
24-Oct-17,155.3,157.42,154.93,156.7,145537
25-Oct-17,156.94,157.55,155.27,156.55,167543
26-Oct-17,156.62,157.95,156.62,157.93,140931
27-Oct-17,158.13,163.6,158.02,162.77,386420
30-Oct-17,163.5,168.07,163.14,166.97,379392
31-Oct-17,167,169.65,166.94,169,301279
1-Nov-17,169.5,170.19,165.61,166.72,288681
2-Nov-17,166.8,174.35,165.28,173.38,360902
3-Nov-17,173.55,175.95,171.12,172.4,527972
6-Nov-17,173,174.99,171.72,174.2,288527
7-Nov-17,174.2,175.25,173.6,174.4,199076
8-Nov-17,174.4,177.1,174.2,176.75,194631
9-Nov-17,176.3,176.69,173.14,176,242313
10-Nov-17,175.42,175.48,174.27,174.56,173741
13-Nov-17,174.7,175,173.4,173.82,139538
14-Nov-17,174.18,174.18,170.5,171.5,204326
15-Nov-17,170.44,170.68,168.38,169.35,235143
16-Nov-17,170.06,171.87,170.06,171.24,175383
17-Nov-17,171.29,171.39,169.64,169.94,174614
20-Nov-17,169.9,170.7,169.56,170.01,126793
21-Nov-17,170.32,173.7,169.91,173.05,192484
22-Nov-17,173.2,175,173.05,174.98,195607
24-Nov-17,175,175.64,174.64,174.89,94903
27-Nov-17,174.86,175.5,173.34,173.81,162365
28-Nov-17,173.95,174.87,171.86,173.06,207347
29-Nov-17,172.74,173.35,167.16,169.1,348090
30-Nov-17,169.2,172.14,168.44,171.49,248699
1-Dec-17,170.95,171.67,168.5,171,295334
4-Dec-17,172.23,172.73,169.36,169.6,260889
5-Dec-17,169.45,171.52,168.4,170.01,219454
6-Dec-17,168.96,170.21,166.46,169.42,225650
7-Dec-17,169.65,170.44,168.91,169.5,205638
8-Dec-17,169.95,171,168.82,169.37,183188
11-Dec-17,169.8,172.89,168.79,172.78,283276
12-Dec-17,172.26,172.68,171.46,171.55,155433
13-Dec-17,171.74,173.54,171.51,172.57,188292
14-Dec-17,172.51,173.13,171.65,172.44,166905
15-Dec-17,172.5,174.15,172.11,174.12,348186
18-Dec-17,174.24,177.2,174.24,176.59,235802
19-Dec-17,175.38,175.39,174.09,174.64,219460
20-Dec-17,175.1,175.42,173.25,174.24,181620
21-Dec-17,174,176.02,173.82,175.16,161919
22-Dec-17,175.18,175.43,174.5,175,122881
26-Dec-17,174.5,174.5,169.67,170.6,286281
27-Dec-17,171.11,171.11,169.71,170.65,176098
28-Dec-17,170.76,171.85,170.48,170.84,136427
29-Dec-17,170.8,171.35,169.01,169.1,197951
2-Jan-18,169.1,172.3,169,172.3,227106
3-Jan-18,172.66,174.55,171.91,172,237711
4-Jan-18,172.4,173.47,172.08,173.33,180667
5-Jan-18,172.7,175.24,172.7,175.07,187556
8-Jan-18,175.1,175.61,173.93,174.8,158295
9-Jan-18,174.79,175.06,173.41,174,176614
10-Jan-18,173.9,174.45,172.5,174.45,196765
11-Jan-18,174.48,175.49,174,175.24,151576
12-Jan-18,175.7,177.38,175.4,177.35,184725
16-Jan-18,177.4,179.39,175.7,175.75,248837
17-Jan-18,174.21,179.45,173.2,179.45,280871
18-Jan-18,179.26,180.1,176.25,178.94,251469
19-Jan-18,178.9,179.77,177.41,178.68,218272
22-Jan-18,177.89,177.92,176.6,177.35,211856
23-Jan-18,177.8,179.44,176.5,177.2,274507
24-Jan-18,177.25,177.98,173.2,174.16,427422
25-Jan-18,174.69,175.23,170.53,171.75,342417
26-Jan-18,172.01,172.73,170.06,171.39,327445
29-Jan-18,171.49,172.6,167.07,168.09,398964
30-Jan-18,168,168,164.7,167.08,392289
31-Jan-18,166.5,168.45,165.55,166.86,255997
1-Feb-18,168,174.25,162.55,173.49,381389
2-Feb-18,171.55,172.33,160,160.02,737266
5-Feb-18,160,163.88,155.37,155.42,608542
6-Feb-18,155.61,163.72,154,162.86,550175
